# 92-U-235(n,thermal chi) ENDF/B-VII.1
7.500000000000000000e+02,1.701362686394463428e-08
7.600000000000000000e+02,1.712588686524632351e-08
7.700000000000000000e+02,1.723814686654800944e-08
7.800000000000000000e+02,1.735040686784969868e-08
7.900000000000000000e+02,1.746088496436881764e-08
8.000000000000000000e+02,1.757136306088793660e-08
8.100000000000000000e+02,1.768005925262449521e-08
8.200000000000000000e+02,1.778875544436105051e-08
8.300000000000000000e+02,1.789032401696733794e-08
8.400000000000000000e+02,1.799723830392132296e-08
8.500000000000000000e+02,1.810415259087531460e-08
8.600000000000000000e+02,1.821106687782929963e-08
8.700000000000000000e+02,1.831798116478329127e-08
8.800000000000000000e+02,1.842489545173727629e-08
8.900000000000000000e+02,1.853180973869126462e-08
9.000000000000000000e+02,1.863872402564525296e-08
9.100000000000000000e+02,1.874563831259924129e-08
9.200000000000000000e+02,1.883473355172756655e-08
9.300000000000000000e+02,1.894164783868155158e-08
9.400000000000000000e+02,1.904856212563554322e-08
9.500000000000000000e+02,1.915547641258952824e-08
9.600000000000000000e+02,1.924457165171785020e-08
9.700000000000000000e+02,1.935148593867184184e-08
9.800000000000000000e+02,1.944058117780016380e-08
9.900000000000000000e+02,1.954749546475415213e-08
1.000000000000000000e+03,1.963659070388247408e-08
1.100000000000000000e+03,2.059881928646836908e-08
1.200000000000000000e+03,2.152540977340293131e-08
1.300000000000000000e+03,2.239854311686050104e-08
1.400000000000000000e+03,2.323603836466673801e-08
1.500000000000000000e+03,2.405571456464731523e-08
1.600000000000000000e+03,2.483975266897656300e-08
1.700000000000000000e+03,2.560597172548014109e-08
1.800000000000000000e+03,2.635437173415806272e-08
1.900000000000000000e+03,2.706713364718464830e-08
2.000000000000000000e+03,2.777989556021123387e-08
2.100000000000000000e+03,2.845701937758649331e-08
2.200000000000000000e+03,2.913414319496174944e-08
2.300000000000000000e+03,2.977562891668567612e-08
2.400000000000000000e+03,3.041711463840960281e-08
2.500000000000000000e+03,3.104078131230786974e-08
2.600000000000000000e+03,3.166444798620613666e-08
2.700000000000000000e+03,3.227029561227873390e-08
2.800000000000000000e+03,3.285832419052566808e-08
2.900000000000000000e+03,3.342853372094693257e-08
3.000000000000000000e+03,3.401656229919386674e-08
3.100000000000000000e+03,3.456895278178947478e-08
3.200000000000000000e+03,3.512134326438507620e-08
3.300000000000000000e+03,3.567373374698068424e-08
3.400000000000000000e+03,3.620830518175062921e-08
3.500000000000000000e+03,3.672505756869490449e-08
3.600000000000000000e+03,3.724180995563917978e-08
3.700000000000000000e+03,3.775856234258345506e-08
3.800000000000000000e+03,3.827531472952773035e-08
3.900000000000000000e+03,3.877424806864634257e-08
4.000000000000000000e+03,3.925536235993928510e-08
4.100000000000000000e+03,3.975429569905789070e-08
4.200000000000000000e+03,4.023540999035084647e-08
4.300000000000000000e+03,4.069870523381811932e-08
4.400000000000000000e+03,4.117981952511107508e-08
4.500000000000000000e+03,4.164311476857834793e-08
4.600000000000000000e+03,4.208859096421997095e-08
4.700000000000000000e+03,4.255188620768725041e-08
4.800000000000000000e+03,4.299736240332887342e-08
4.900000000000000000e+03,4.344283859897048320e-08
5.000000000000000000e+03,4.388831479461209960e-08
5.100000000000000000e+03,4.431597194242805293e-08
5.200000000000000000e+03,4.474362909024400626e-08
5.300000000000000000e+03,4.517128623805995297e-08
