92-U-238(n,total) ENDF/B-VII.1
117.574,54.1624
117.657,46.6454
117.762,40.5474
117.904,35.0847
118.083,30.6803
118.321,26.9428
118.635,23.8755
119.026,21.6036
119.533,19.8165
120.062,18.2987
121.063,16.7716
123.243,15.0692
124.577,14.5062
124.807,14.933
125.03,15.6765
125.256,14.8236
125.469,14.2087
130.35,12.9979
132.765,12.623
133.23,13.005
133.308,13.0532
133.846,12.4749
135.635,12.2521
136.002,12.3528
138.188,11.9377
144.899,10.9959
145.053,11.1354
145.146,11.8103
145.195,12.7486
145.242,14.3171
145.288,16.8651
145.334,20.698
145.382,26.2205
145.444,35.5727
145.569,56.4892
145.628,62.8005
145.672,64.3109
145.729,61.8068
145.796,53.6184
145.934,31.2164
145.988,24.3604
146.036,19.8968
146.085,16.7381
146.134,14.7354
146.184,13.5372
146.27,12.5309
146.456,11.9257
146.9,11.5533
149.92,10.9791
151.696,10.794
151.996,10.9245
152.146,11.5298
152.405,13.6757
152.455,13.785
152.572,13.2415
152.733,11.7238
152.871,10.9485
153.101,10.6582
158.326,10.0597
158.614,10.2974
158.895,10.8567
159.315,10.0054
163.592,9.01903
164.529,8.60762
164.638,8.85307
164.699,9.45487
164.742,10.3858
164.777,11.6727
164.814,13.7296
164.844,16.2284
164.874,19.6549
164.904,24.2258
164.94,31.5172
164.98,42.0945
165.023,56.8693
165.083,82.7507
165.206,140.884
165.268,160.796
165.324,167.028
165.377,161.313
165.438,142.7
165.601,69.5825
165.653,50.8733
165.696,38.7989
165.73,31.3713
165.769,25.0968
165.808,20.6329
165.846,17.5568
165.885,15.488
165.932,13.9037
165.978,12.935
166.082,11.8497
166.254,11.1008
166.709,10.2897
167.569,9.68896
171.949,8.47655
172.572,8.3434
172.791,8.47453
172.906,8.8415
173.185,10.4822
173.235,10.5586
173.355,10.1579
173.586,8.61181
173.77,8.10301
178.345,6.51459
180.767,5.34185
182.705,4.07456
184.412,2.66185
185.436,1.79455
185.902,1.50727
186.193,1.42556
186.29,1.4253
186.489,1.48466
186.68,1.64225
186.836,1.87262
186.99,2.22314
187.143,2.73133
187.289,3.41491
187.428,4.31813
187.567,5.5504
187.694,7.06444
187.821,9.0848
187.949,11.8027
188.058,14.899
188.167,18.9781
188.276,24.4369
188.372,30.9396
188.469,39.6957
188.554,50.0483
188.639,64.1463
188.712,80.7188
188.779,101.938
188.838,126.895
188.886,154.866
188.934,192.413
188.983,243.833
189.029,311.105
189.072,397.951
189.116,515.159
189.156,657.086
189.198,852.459
189.244,1126.88
189.298,1536.39
189.363,2176.42
189.545,4316.84
189.622,4956.41
189.689,5154.59
189.758,4967.32
189.826,4445.57
190.029,2182.49
190.096,1589.18
190.151,1205.96
190.202,939.679
190.253,740.405
190.304,593.827
190.359,480.158
190.419,390.705
190.485,322.92
190.557,269.772
190.644,224.776
190.753,185.571
190.884,153.064
191.037,126.819
191.218,105.177
191.4,89.8176
191.666,74.0681
191.957,62.3778
192.296,52.9452
192.75,44.4052
193.295,37.6208
193.93,32.337
194.472,29.3707
194.94,28.2148
195.392,25.3449
196.515,22.1419
198.194,19.0528
200.223,16.5869
200.453,16.982
200.739,18.0322
200.918,17.3767
201.225,15.6544
202.247,14.3946
202.638,14.0917
203.082,14.7219
203.318,14.0657
203.606,13.027
205.325,10.4626
206.144,8.71528
207.143,5.81023
207.348,5.47406
207.462,5.62592
207.535,6.04323
207.592,6.70444
207.635,7.5408
